PassengerId,Survived,Pclass,SibSp,Parch,Ticket,Fare,Embarked,Deck
164,0,3,0,0,265,8.6625,2,2
165,0,3,4,1,249,39.6875,2,2
166,1,3,0,2,423,20.525,2,2
167,1,1,0,1,28,55.0,2,4
168,0,3,1,4,337,27.9,2,2
169,0,1,0,0,576,25.925,2,2
170,0,3,0,0,80,56.4958,2,2
171,0,1,0,0,5,33.5,2,1
172,0,3,4,1,480,29.125,1,2
173,1,3,1,1,344,11.1333,2,2
174,0,3,0,0,659,7.925,2,2
175,0,1,0,0,90,30.6958,0,0
176,0,3,1,1,412,7.8542,2,2
177,0,3,3,1,488,25.4667,2,2
178,0,1,0,0,593,28.7125,0,2
179,0,2,0,0,169,13.0,2,2
180,0,3,0,0,574,0.0,2,2
181,0,3,8,2,568,69.55,2,2
182,0,2,0,0,629,15.05,0,2
183,0,3,4,2,329,31.3875,2,2
184,1,2,2,1,114,39.0,2,5
185,1,3,0,2,271,22.025,2,2
186,0,1,0,0,34,50.0,2,0
187,1,3,1,0,459,15.5,1,2
188,1,1,0,0,11,26.55,2,2
189,0,3,1,1,435,15.5,1,2
190,0,3,0,0,386,7.8958,2,2
191,1,2,0,0,122,13.0,2,2
192,0,2,0,0,227,13.0,2,2
193,1,3,1,0,406,7.8542,2,2
194,1,2,1,1,113,26.0,2,5
195,1,1,0,0,604,27.7208,0,1
196,1,1,0,0,586,146.5208,0,1
197,0,3,0,0,452,7.75,1,2
198,0,3,0,1,494,8.4042,2,2
199,1,3,0,0,461,7.75,1,2
200,0,2,0,0,160,13.0,2,2
201,0,3,0,0,306,9.5,2,2
202,0,3,8,2,568,69.55,2,2
203,0,3,0,0,242,6.4958,2,2
204,0,3,0,0,177,7.225,0,2
205,1,3,0,0,530,8.05,2,2
206,0,3,0,1,316,10.4625,2,6
207,0,3,1,0,247,15.85,2,2
208,1,3,0,0,216,18.7875,0,2
209,1,3,0,0,445,7.75,1,2
210,1,1,0,0,17,31.0,0,0
211,0,3,0,0,642,7.05,2,2
212,1,2,0,0,570,21.0,2,2
213,0,3,0,0,526,7.25,2,2
214,0,2,0,0,163,13.0,2,2
215,0,3,1,0,443,7.75,1,2
216,1,1,1,0,416,113.275,0,3
217,1,3,0,0,670,7.925,2,2
218,0,2,1,0,142,27.0,2,2
219,1,1,0,0,63,76.2917,0,3
220,0,2,0,0,679,10.5,2,2
221,1,3,0,0,653,8.05,2,2
222,0,2,0,0,105,13.0,2,2
223,0,3,0,0,102,8.05,2,2
224,0,3,0,0,375,7.8958,2,2
225,1,1,1,0,93,90.0,2,2
226,0,3,0,0,615,9.35,2,2
227,1,2,0,0,672,10.5,2,2
228,0,3,0,0,525,7.25,2,2
229,0,2,0,0,125,13.0,2,2
230,0,3,3,1,488,25.4667,2,2
231,1,1,1,0,457,83.475,2,2
232,0,3,0,0,322,7.775,2,2
233,0,2,0,0,128,13.5,2,2
234,1,3,4,2,329,31.3875,2,2
235,0,2,0,0,554,10.5,2,2
236,0,3,0,0,677,7.55,2,2
237,0,2,1,0,198,26.0,2,2
238,1,2,0,2,556,26.25,2,2
239,0,2,0,0,231,10.5,2,2
240,0,2,0,0,636,12.275,2,2
241,0,3,1,0,193,14.4542,0,2
242,1,3,1,0,444,15.5,1,2
243,0,2,0,0,674,10.5,2,2
244,0,3,0,0,658,7.125,2,2
245,0,3,0,0,213,7.225,0,2
246,0,1,2,0,92,90.0,1,2
247,0,3,0,0,325,7.775,2,2
248,1,2,0,2,166,14.5,2,2
249,1,1,1,1,54,52.5542,2,3
250,0,2,1,0,144,26.0,2,2
251,0,3,0,0,422,7.25,2,2
252,0,3,1,1,316,10.4625,2,6
253,0,1,0,0,31,26.55,2,2
254,0,3,1,0,536,16.1,2,2
255,0,3,0,2,458,20.2125,2,2
256,1,3,0,2,185,15.2458,0,2
257,1,1,0,0,589,79.2,0,2
258,1,1,0,0,0,86.5,2,1
259,1,1,0,0,608,512.3292,0,2
260,1,2,0,1,115,26.0,2,2
261,0,3,0,0,482,7.75,1,2
262,1,3,4,2,329,31.3875,2,2
263,0,1,1,1,1,79.65,2,4
264,0,1,0,0,16,0.0,2,1
265,0,3,0,0,478,7.75,1,2
266,0,2,0,0,546,10.5,2,2
267,0,3,4,1,249,39.6875,2,2
268,1,3,1,0,334,7.775,2,2
269,1,1,0,1,588,153.4625,2,2
270,1,1,0,0,613,135.6333,2,2
271,0,1,0,0,47,31.0,2,2
272,1,3,0,0,574,0.0,2,2
273,1,2,0,1,162,19.5,2,2
274,0,1,0,1,594,29.7,0,2
275,1,3,0,0,465,7.75,1,2
276,1,1,1,0,71,77.9583,2,3
277,0,3,0,0,326,7.75,2,2
278,0,2,0,0,135,0.0,2,2
279,0,3,4,1,480,29.125,1,2
280,1,3,1,1,551,20.25,2,2
281,0,3,0,0,290,7.75,1,2
282,0,3,0,0,340,7.8542,2,2
283,0,3,0,0,310,9.5,2,2
284,1,3,0,0,533,8.05,2,2
285,0,1,0,0,24,26.0,2,0
286,0,3,0,0,378,8.6625,0,2
287,1,3,0,0,308,9.5,2,2
288,0,3,0,0,353,7.8958,2,2
289,1,2,0,0,134,13.0,2,2
290,1,3,0,0,464,7.75,1,2
291,1,1,0,0,91,78.85,2,2
292,1,1,1,0,64,91.0792,0,1
293,0,2,0,0,635,12.875,0,3
294,0,3,0,0,376,8.85,2,2
295,0,3,0,0,374,7.8958,2,2
296,0,1,0,0,606,27.7208,0,2
297,0,3,0,0,212,7.2292,0,2
298,0,1,1,2,37,151.55,2,2
299,1,1,0,0,98,30.5,2,2
300,1,1,0,1,585,247.5208,0,1
301,1,3,0,0,513,7.75,1,2
302,1,3,2,0,441,23.25,1,2
303,0,3,0,0,574,0.0,2,2
304,1,2,0,0,109,12.35,1,4
305,0,3,0,0,527,8.05,2,2
306,1,1,1,2,37,151.55,2,2
307,1,1,0,0,83,110.8833,0,2
308,1,1,1,0,611,108.9,0,2
309,0,2,1,0,575,24.0,0,2
310,1,1,0,0,584,56.9292,0,4
311,1,1,0,0,59,83.1583,0,2
312,1,1,2,2,602,262.375,0,1
313,0,2,1,1,167,26.0,2,2
314,0,3,0,0,382,7.8958,2,2
315,0,2,1,1,571,26.25,2,2
316,1,3,0,0,343,7.8542,2,2
317,1,2,1,0,150,26.0,2,2
318,0,2,0,0,232,14.0,2,2
319,1,1,0,2,453,164.8667,2,2
320,1,1,1,1,81,134.5,0,4
321,0,3,0,0,524,7.25,2,2
322,0,3,0,0,365,7.8958,2,2
323,1,2,0,0,124,12.35,1,2
324,1,2,1,1,158,29.0,2,2
325,0,3,8,2,568,69.55,2,2
326,1,1,0,0,613,135.6333,0,2
327,0,3,0,0,299,6.2375,2,2
328,1,2,0,0,229,13.0,2,3
329,1,3,1,1,423,20.525,2,2
330,1,1,0,1,7,57.9792,0,1
331,1,3,2,0,441,23.25,1,2
332,0,1,0,0,20,28.5,2,2
333,0,1,0,1,588,153.4625,2,2
334,0,3,2,0,302,18.0,2,2
335,1,1,1,0,605,133.65,2,2
336,0,3,0,0,370,7.8958,2,2
337,0,1,1,0,36,66.6,2,2
338,1,1,0,0,81,134.5,0,4
339,1,3,0,0,510,8.05,2,2
340,0,1,0,0,39,35.5,2,7
341,1,2,1,1,113,26.0,2,5
342,1,1,3,2,95,263.0,2,2
343,0,2,0,0,159,13.0,2,2
344,0,2,0,0,149,13.0,2,2
345,0,2,0,0,112,13.0,2,2
346,1,2,0,0,157,13.0,2,5
347,1,2,0,0,257,13.0,2,2
348,1,3,1,0,483,16.1,2,2
349,1,3,1,1,562,15.9,2,2
350,0,3,0,0,262,8.6625,2,2
351,0,3,0,0,503,9.225,2,2
352,0,1,0,0,30,35.0,2,2
353,0,3,1,1,214,7.2292,0,2
354,0,3,1,0,377,17.8,2,2
355,0,3,0,0,182,7.225,0,2
356,0,3,0,0,314,9.5,2,2
357,1,1,0,1,28,55.0,2,4
358,0,2,0,0,131,13.0,2,2
359,1,3,0,0,279,7.8792,1,2
360,1,3,0,0,285,7.8792,1,2
361,0,3,1,4,337,27.9,2,2
362,0,2,1,0,633,27.7208,0,2
363,0,3,0,1,211,14.4542,0,2
364,0,3,0,0,641,7.05,2,2
365,0,3,1,0,459,15.5,1,2
366,0,3,0,0,544,7.25,2,2
367,1,1,1,0,4,75.25,0,3
368,1,3,0,0,175,7.2292,0,2
369,1,3,0,0,78,7.75,1,2
370,1,1,0,0,581,69.3,0,1
371,1,1,1,0,58,55.4417,0,4
372,0,3,1,0,244,6.4958,2,2
373,0,3,0,0,273,8.05,2,2
374,0,1,0,0,613,135.6333,0,2
375,0,3,3,1,395,21.075,2,2
376,1,1,1,0,600,82.1708,0,2
377,1,3,0,0,545,7.25,2,2
378,0,1,0,2,27,211.5,0,2
379,0,3,0,0,183,4.0125,0,2
380,0,3,0,0,324,7.775,2,2
381,1,1,0,0,610,227.525,0,2
382,1,3,0,2,187,15.7417,0,2
383,0,3,0,0,665,7.925,2,2
384,1,1,1,0,43,52.0,2,2
385,0,3,0,0,371,7.8958,2,2
386,0,2,0,0,621,73.5,2,2
387,0,3,5,2,566,46.9,2,2
388,1,2,0,0,220,13.0,2,2
389,0,3,0,0,447,7.7292,1,2
390,1,2,0,0,625,12.0,0,2
391,1,1,1,2,33,120.0,2,1
392,1,3,0,0,401,7.7958,2,2
393,0,3,2,0,246,7.925,2,2
394,1,1,1,0,416,113.275,0,3
395,1,3,0,2,616,16.7,2,6
396,0,3,0,0,410,7.7958,2,2
397,0,3,0,0,414,7.8542,2,2
398,0,2,0,0,226,26.0,2,2
399,0,2,0,0,146,10.5,2,2
400,1,2,0,0,140,12.65,2,2
401,1,3,0,0,663,7.925,2,2
402,0,3,0,0,292,8.05,2,2
403,0,3,1,0,492,9.825,2,2
404,0,3,1,0,668,15.85,2,2
405,0,3,0,0,267,8.6625,2,2
406,0,2,1,0,230,21.0,2,2
407,0,3,0,0,321,7.75,2,2
408,1,2,1,1,237,18.75,2,2
409,0,3,0,0,255,7.775,2,2
410,0,3,3,1,488,25.4667,2,2
411,0,3,0,0,367,7.8958,2,2
412,0,3,0,0,487,6.8583,1,2
413,1,1,1,0,92,90.0,1,2
414,0,2,0,0,135,0.0,2,2
415,1,3,0,0,655,7.925,2,2
416,0,3,0,0,295,8.05,2,2
417,1,2,1,1,224,32.5,2,2
418,1,2,0,2,168,13.0,2,2
419,0,2,0,0,225,13.0,2,2
420,0,3,0,2,307,24.15,2,2
421,0,3,0,0,392,7.8958,0,2
422,0,3,0,0,534,7.7333,1,2
423,0,3,0,0,259,7.875,2,2
424,0,3,1,1,331,14.4,2,2
425,0,3,1,1,458,20.2125,2,2
426,0,3,0,0,521,7.25,2,2
427,1,2,1,0,100,26.0,2,2
428,1,2,0,0,170,26.0,2,2
429,0,3,0,0,437,7.75,1,2
430,1,3,0,0,644,8.05,2,4
431,1,1,0,0,3,26.55,2,2
432,1,3,1,0,476,16.1,2,2
433,1,2,1,0,627,26.0,2,2
434,0,3,0,0,657,7.125,2,2
435,0,1,1,0,72,55.9,2,4
436,1,1,1,2,33,120.0,2,1
437,0,3,2,2,676,34.375,2,2
438,1,2,2,3,237,18.75,2,2
439,0,1,1,4,95,263.0,2,2
440,0,2,0,0,547,10.5,2,2
441,1,2,1,1,571,26.25,2,2
442,0,3,0,0,305,9.5,2,2
443,0,3,1,0,328,7.775,2,2
444,1,2,0,0,116,13.0,2,2
445,1,3,0,0,499,8.1125,2,2
446,1,1,0,2,289,81.8583,2,0
447,1,2,0,1,162,19.5,2,2
448,1,1,0,0,45,26.55,2,2
449,1,3,2,1,194,19.2583,0,2
450,1,1,0,0,40,30.5,2,2
451,0,2,1,2,561,27.75,2,2
452,0,3,1,0,497,19.9667,2,2
453,0,1,0,0,22,27.75,0,2
454,1,1,1,0,84,89.1042,0,2
455,0,3,0,0,528,8.05,2,2
456,1,3,0,0,379,7.8958,0,2
457,0,1,0,0,73,26.55,2,4
458,1,1,1,0,86,51.8625,2,3
459,1,2,0,0,572,10.5,2,2
460,0,3,0,0,468,7.75,1,2
461,1,1,0,0,96,26.55,2,4
462,0,3,0,0,429,8.05,2,2
463,0,1,0,0,6,38.5,2,4
464,0,2,0,0,121,13.0,2,2
465,0,3,0,0,539,8.05,2,2
466,0,3,0,0,639,7.05,2,2
467,0,2,0,0,135,0.0,2,2
468,0,1,0,0,44,26.55,2,2
469,0,3,0,0,421,7.725,1,2
470,1,3,2,1,194,19.2583,0,2
471,0,3,0,0,272,7.25,2,2
472,0,3,0,0,263,8.6625,2,2
473,1,2,1,2,561,27.75,2,2
474,1,2,0,0,628,13.7917,0,3
475,0,3,0,0,509,9.8375,2,2
476,0,1,0,0,2,52.0,2,0
477,0,2,1,0,252,21.0,2,2
478,0,3,1,0,315,7.0458,2,2
479,0,3,0,0,411,7.5208,2,2
480,1,3,0,1,251,12.2875,2,2
481,0,3,5,2,566,46.9,2,2
482,0,2,0,0,136,0.0,2,2
483,0,3,0,0,531,8.05,2,2
484,1,3,0,0,489,9.5875,2,2
485,1,1,1,0,64,91.0792,0,1
486,0,3,3,1,488,25.4667,2,2
487,1,1,1,0,93,90.0,2,2
488,0,1,0,0,61,29.7,0,1
489,0,3,0,0,517,8.05,2,2
490,1,3,1,1,562,15.9,2,2
491,0,3,1,0,498,19.9667,2,2
492,0,3,0,0,649,7.25,2,2
493,0,1,0,0,41,30.5,2,2
494,0,1,0,0,603,49.5042,0,2
495,0,3,0,0,518,8.05,2,2
496,0,3,0,0,176,14.4583,0,2
497,1,1,1,0,454,78.2667,0,3
498,0,3,0,0,564,15.1,2,2
499,0,1,1,2,37,151.55,2,2
500,0,3,0,0,402,7.7958,2,2
501,0,3,0,0,261,8.6625,2,2
502,0,3,0,0,433,7.75,1,2
503,0,3,0,0,276,7.6292,1,2
504,0,3,0,0,490,9.5875,2,2
505,1,1,0,0,0,86.5,2,1
506,0,1,1,0,611,108.9,0,2
507,1,2,0,2,180,26.0,2,2
508,1,1,0,0,10,26.55,2,2
509,0,3,0,0,542,22.525,2,2
510,1,3,0,0,80,56.4958,2,2
511,1,3,0,0,479,7.75,1,2
512,0,3,0,0,648,8.05,2,2
513,1,1,0,0,577,26.2875,2,4
514,1,1,1,0,599,59.4,0,2
515,0,3,0,0,356,7.4958,2,2
516,0,1,0,0,456,34.0208,2,3
517,1,2,0,0,560,10.5,2,5
518,0,3,0,0,469,24.15,1,2
519,1,2,1,0,110,26.0,2,2
520,0,3,0,0,381,7.8958,2,2
521,1,1,0,0,67,93.5,2,1
522,0,3,0,0,390,7.8958,2,2
523,0,3,0,0,173,7.225,0,2
524,1,1,0,1,7,57.9792,0,1
525,0,3,0,0,217,7.2292,0,2
526,0,3,0,0,446,7.75,1,2
527,1,2,0,0,673,10.5,2,2
528,0,1,0,0,583,221.7792,2,2
529,0,3,0,0,250,7.925,2,2
530,0,2,2,1,235,11.5,2,2
531,1,2,1,1,180,26.0,2,2
532,0,3,0,0,181,7.2292,0,2
533,0,3,1,1,210,7.2292,0,2
534,1,3,0,2,196,22.3583,0,2
535,0,3,0,0,260,8.6625,2,2
536,1,2,0,2,571,26.25,2,2
537,0,1,0,0,21,26.55,2,1
538,1,1,0,0,614,106.425,0,2
539,0,3,0,0,426,14.5,2,2
540,1,1,0,2,75,49.5,0,1
541,1,1,0,2,680,71.0,2,1
542,0,3,4,2,333,31.275,2,2
543,0,3,4,2,333,31.275,2,2
544,1,2,1,0,233,26.0,2,2
545,0,1,1,0,614,106.425,0,2
546,0,1,0,0,501,26.0,2,2
547,1,2,1,0,233,26.0,2,2
548,1,2,0,0,631,13.8625,0,2
549,0,3,1,1,423,20.525,2,2
550,1,2,1,1,558,36.75,2,2
551,1,1,0,2,83,110.8833,0,2
552,0,2,0,0,148,26.0,2,2
553,0,3,0,0,284,7.8292,1,2
554,1,3,0,0,171,7.225,0,2
555,1,3,0,0,335,7.775,2,2
556,0,1,0,0,52,26.55,2,2
557,1,1,1,0,57,39.6,0,0
558,0,1,0,0,610,227.525,0,2
559,1,1,1,1,1,79.65,2,4
560,1,3,1,0,300,17.4,2,2
561,0,3,0,0,471,7.75,1,2
562,0,3,0,0,389,7.8958,2,2
563,0,2,0,0,103,13.5,2,2
564,0,3,0,0,651,8.05,2,2
565,0,3,0,0,645,8.05,2,2
566,0,3,2,0,519,24.15,2,2
567,0,3,0,0,352,7.8958,2,2
568,0,3,0,4,395,21.075,2,2
569,0,3,0,0,207,7.2292,0,2
570,1,3,0,0,415,7.8542,2,2
571,1,2,0,0,624,10.5,2,2
572,1,1,2,0,60,51.4792,2,2
573,1,1,0,0,578,26.3875,2,4
574,1,3,0,0,77,7.75,1,2
575,0,3,0,0,520,8.05,2,2
576,0,3,0,0,420,14.5,2,2
577,1,2,0,0,143,13.0,2,2
578,1,1,1,0,72,55.9,2,4
579,0,3,1,0,209,14.4583,0,2
580,1,3,0,0,661,7.925,2,2
581,1,2,1,1,133,30.0,2,2
582,1,1,1,1,83,110.8833,0,2
583,0,2,0,0,226,26.0,2,2
584,0,1,0,0,68,40.125,0,0
585,0,3,0,0,291,8.7125,0,2
586,1,1,0,2,1,79.65,2,4
587,0,2,0,0,129,15.0,2,2
588,1,1,1,1,74,79.2,0,1
589,0,3,0,0,79,8.05,2,2
590,0,3,0,0,515,8.05,2,2
591,0,3,0,0,656,7.125,2,2
592,1,1,1,0,454,78.2667,0,3
593,0,3,0,0,532,7.25,2,2
594,0,3,0,2,434,7.75,1,2
595,0,2,1,0,626,26.0,2,2
596,0,3,1,1,307,24.15,2,2
597,1,2,0,0,155,33.0,2,2
598,0,3,0,0,574,0.0,2,2
599,0,3,0,0,192,7.225,0,2
600,1,1,1,0,584,56.9292,0,0
601,1,2,2,1,142,27.0,2,2
602,0,3,0,0,360,7.8958,2,2
603,0,1,0,0,46,42.4,2,2
604,0,3,0,0,430,8.05,2,2
605,1,1,0,0,9,26.55,0,2
606,0,3,1,0,396,15.55,2,2
607,0,3,0,0,385,7.8958,2,2
608,1,1,0,0,50,30.5,2,2
609,1,2,1,2,634,41.5792,0,2
610,1,1,0,0,588,153.4625,2,2
611,0,3,1,5,333,31.275,2,2
612,0,3,0,0,638,7.05,2,2
613,1,3,1,0,444,15.5,1,2
614,0,3,0,0,467,7.75,1,2
615,0,3,0,0,431,8.05,2,2
616,1,2,1,2,106,65.0,2,2
617,0,3,1,1,331,14.4,2,2
618,0,3,1,0,536,16.1,2,2
619,1,2,2,1,114,39.0,2,5
620,0,2,0,0,253,10.5,2,2
621,0,3,1,0,188,14.4542,0,2
622,1,1,1,0,56,52.5542,2,3
623,1,3,1,1,187,15.7417,0,2
624,0,3,0,0,400,7.8542,2,2
625,0,3,0,0,495,16.1,2,2
626,0,1,0,0,455,32.3208,2,3
627,0,2,0,0,104,12.35,1,2
628,1,1,0,0,71,77.9583,2,3
629,0,3,0,0,369,7.8958,2,2
630,0,3,0,0,286,7.7333,1,2
631,1,1,0,0,218,30.0,2,0
632,0,3,0,0,345,7.0542,2,2
633,1,1,0,0,70,30.5,0,1
634,0,1,0,0,13,0.0,2,2
635,0,3,3,2,337,27.9,2,2
636,1,2,0,0,130,13.0,2,2
637,0,3,0,0,664,7.925,2,2
638,0,2,1,1,556,26.25,2,2
639,0,3,0,5,249,39.6875,2,2
640,0,3,1,0,476,16.1,2,2
641,0,3,0,0,409,7.8542,2,2
642,1,1,0,0,581,69.3,0,1
643,0,3,3,2,337,27.9,2,2
644,1,3,0,0,80,56.4958,2,2
645,1,3,2,1,194,19.2583,0,2
646,1,1,1,0,587,76.7292,0,3
647,0,3,0,0,373,7.8958,2,2
648,1,1,0,0,69,35.5,0,0
649,0,3,0,0,620,7.55,2,2
650,1,3,0,0,567,7.55,2,2
651,0,3,0,0,366,7.8958,2,2
652,1,2,0,1,117,23.0,2,2
653,0,3,0,0,512,8.4333,2,2
654,1,3,0,0,277,7.8292,1,2
655,0,3,0,0,439,6.75,1,2
656,0,2,2,0,621,73.5,2,2
657,0,3,0,0,368,7.8958,2,2
658,0,3,1,1,435,15.5,1,2
659,0,2,0,0,241,13.0,2,2
660,0,1,0,2,416,113.275,0,3
661,1,1,2,0,605,133.65,2,2
662,0,3,0,0,172,7.225,0,2
663,0,1,0,0,496,25.5875,2,4
664,0,3,0,0,357,7.4958,2,2
665,1,3,1,0,660,7.925,2,2
666,0,2,2,0,621,73.5,2,2
667,0,2,0,0,123,13.0,2,2
668,0,3,0,0,256,7.775,2,2
669,0,3,0,0,529,8.05,2,2
670,1,1,1,0,99,52.0,2,2
671,1,2,1,1,240,39.0,2,2
672,0,1,1,0,569,52.0,2,1
673,0,2,0,0,550,10.5,2,2
674,1,2,0,0,145,13.0,2,2
675,0,2,0,0,138,0.0,2,2
676,0,3,0,0,397,7.775,2,2
677,0,3,0,0,294,8.05,2,2
678,1,3,0,0,493,9.8417,2,2
679,0,3,1,6,566,46.9,2,2
680,1,1,0,1,608,512.3292,0,1
681,0,3,0,0,281,8.1375,1,2
682,1,1,0,0,587,76.7292,0,3
683,0,3,0,0,500,9.225,2,2
684,0,3,5,2,566,46.9,2,2
